Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
height_cm,demographics,,text,Height (cm),,,number_1dp,100,230,,,y,,,,,
weight_kg,demographics,,text,Weight (kg),,,number_1dp,25,300,,,y,,,,,
bmi,demographics,,calc,BMI (kg/m²),"round(([weight_kg]/(([height_cm]/100)^2)),1)",,,,,,,,,,,,@READONLY
demo_comments,demographics,,notes,Demographics Comments,,,,,,,,,,,,,
primary_diagnosis,disease_history,,dropdown,Primary Diagnosis,"1, Cutaneous Melanoma | 2, Mucosal Melanoma | 3, Acral Melanoma | 4, Uveal Melanoma | 5, Other",,,,,,,y,,,,,
primary_diagnosis_other,disease_history,,text,Specify Other Diagnosis,,,,,,,[primary_diagnosis]='5',,,,,,
diagnosis_date,disease_history,,text,Initial Diagnosis Date,,,date_ymd,,,,,y,,,,,
ajcc_stage,disease_history,,dropdown,AJCC Stage at Screening,"1, Stage III unresectable | 2, Stage IV M1a | 3, Stage IV M1b | 4, Stage IV M1c | 5, Stage IV M1d",,,,,,,y,,,,,
histology_confirmed,disease_history,,radio,Histologically confirmed?,"1, Yes | 0, No",,,,,,,y,,,,,
disease_status,disease_history,,dropdown,Disease Status,"1, Locally Advanced | 2, Metastatic | 3, Recurrent",,,,,,,y,,,,,
metastatic_present,disease_history,,radio,Metastatic disease present?,"1, Yes | 0, No",,,,,,,y,,,,,
met_sites,disease_history,,checkbox,Metastatic Sites,"1, Lymph Node | 2, Lung | 3, Liver | 4, Bone | 5, Brain | 6, Skin/Subcutaneous | 7, Other",,,,,,[metastatic_present]='1',,,,,,
met_other,disease_history,,text,Specify Other Metastatic Site,,,,,,,[met_sites(7)]='1',,,,,,
prior_systemic,disease_history,,radio,Prior Systemic Therapy?,"1, Yes | 0, No",,,,,,,y,,,,,
prior_tx_lines,disease_history,,text,Number of Prior Systemic Therapy Lines,,,integer,0,20,,[prior_systemic]='1',,,,,,
prior_immunotherapy,disease_history,,radio,Prior Immunotherapy?,"1, Yes | 0, No",,,,,,[prior_systemic]='1',,,,,,
braf_status,disease_history,,dropdown,BRAF V600 Mutation Status,"1, Positive | 2, Negative | 3, Unknown | 4, Not Tested",,,,,,,y,,,,,
ldh_high,disease_history,,radio,LDH above ULN at Screening?,"1, Yes | 0, No | 9, Unknown",,,,,,,y,,,,,
disease_comments,disease_history,,notes,Disease History Comments,,,,,,,,,,,,,
mh_record,medical_history,,text,Medical History Record Number,,,integer,,,,,,,,,,
mh_term,medical_history,,text,Medical Condition (verbatim),,,,,,,,y,,,,,
mh_ongoing,medical_history,,radio,Condition Ongoing?,"1, Yes | 0, No",,,,,,,y,,,,,
mh_startdt,medical_history,,text,Start Date,,,date_ymd,,,,,,,,,,
mh_enddt,medical_history,,text,End Date,,,date_ymd,,,,[mh_ongoing]='0',,,,,,
mh_severity,medical_history,,dropdown,Severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
mh_treated,medical_history,,radio,Treatment Required?,"1, Yes | 0, No",,,,,,,,,,,,
mh_med,medical_history,,text,Associated Medication,,,,,,,[mh_treated]='1',,,,,,
mh_meddra_pt,medical_history,,text,MedDRA Preferred Term,,Optional coding field,,,,,,,,,,,
mh_comments,medical_history,,notes,Medical History Comments,,,,,,,,,,,,,
inc_age18,inclusion_criteria,,radio,Age ≥18 years?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_consent,inclusion_criteria,,radio,Written informed consent obtained?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_histology,inclusion_criteria,,radio,Histologically confirmed unresectable Stage III/IV melanoma?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_ecog,inclusion_criteria,,radio,ECOG performance status 0-1?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_measurable,inclusion_criteria,,radio,Measurable disease per RECIST v1.1?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_bm,inclusion_criteria,,radio,Adequate bone marrow function?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_liver,inclusion_criteria,,radio,Adequate hepatic function?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_renal,inclusion_criteria,,radio,Adequate renal function?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_life,inclusion_criteria,,radio,Life expectancy ≥12 weeks?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_compliance,inclusion_criteria,,radio,Able and willing to comply with protocol?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_all,inclusion_criteria,,radio,All inclusion criteria met?,"1, Yes | 0, No",,,,,,,y,,,,,
inc_comments,inclusion_criteria,,notes,Inclusion Criteria Comments,,,,,,,,,,,,,
exc_autoimmune,exclusion_criteria,,radio,Active autoimmune disease requiring systemic treatment?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_prior_immunox,exclusion_criteria,,radio,Prior exposure to ImmunoX?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_infection,exclusion_criteria,,radio,Active uncontrolled infection?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_brainmets,exclusion_criteria,,radio,Untreated or unstable CNS metastases?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_pregnancy,exclusion_criteria,,radio,Pregnant or breastfeeding?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_transplant,exclusion_criteria,,radio,History of organ transplantation?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_other_malignancy,exclusion_criteria,,radio,Other active malignancy requiring treatment?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_infection_history,exclusion_criteria,,radio,"Known HIV, active HBV, or active HCV infection?","1, Yes | 0, No",,,,,,,y,,,,,
exc_other_condition,exclusion_criteria,,radio,Other condition that may interfere with participation?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_other_condition_specify,exclusion_criteria,,notes,Specify Other Condition,,,,,,,[exc_other_condition]='1',,,,,,
exc_overall,exclusion_criteria,,radio,Any exclusion criterion met?,"1, Yes | 0, No",,,,,,,y,,,,,
exc_reviewed_by,exclusion_criteria,,text,Exclusion Criteria Reviewed By,,,,,,,,,,,,,
exc_comments,exclusion_criteria,,notes,Exclusion Criteria Comments,,,,,,,,,,,,,
elig_review_date,eligibility_confirmation,,text,Eligibility Review Date,,,date_ymd,,,,,y,,,,,
elig_reviewed_by,eligibility_confirmation,,text,Eligibility Reviewed By,,,,,,,,y,,,,,
elig_inclusion,eligibility_confirmation,,radio,All inclusion criteria met?,"1, Yes | 0, No",,,,,,,y,,,,,
elig_exclusion,eligibility_confirmation,,radio,Any exclusion criterion met?,"1, Yes | 0, No",,,,,,,y,,,,,
elig_final,eligibility_confirmation,,radio,Final Eligibility Decision,"1, Eligible | 0, Not Eligible",,,,,,,y,,,,,
elig_reason,eligibility_confirmation,,notes,Reason Not Eligible,,,,,,,[elig_final]='0',,,,,,
eligibility_status,eligibility_confirmation,,calc,Calculated Eligibility Check,"if([elig_inclusion]='1' and [elig_exclusion]='0',1,0)",,,,,,,,,,,,@READONLY
elig_initials,eligibility_confirmation,,text,Reviewer Initials,,,,,,,,y,,,,,
elig_comments,eligibility_confirmation,,notes,Eligibility Comments,,,,,,,,,,,,,
rand_number,randomization,,text,Randomization Number,,,integer,,,,,y,,,,,
rand_date,randomization,,text,Randomization Date,,,date_ymd,,,,,y,,,,,
rand_time,randomization,,text,Randomization Time,,,time,,,,,,,,,,
treatment_arm,randomization,,dropdown,Treatment Arm,"1, Arm A - ImmunoX + Standard Therapy | 2, Arm B - Standard Therapy",,,,,,,y,,,,,
rand_by,randomization,,text,Randomized By,,,,,,,,y,,,,,
rand_confirm,randomization,,radio,Randomization Confirmed?,"1, Yes | 0, No",,,,,,,y,,,,,
enrollment_status,randomization,,dropdown,Enrollment Status,"1, Enrolled | 2, Screen Failure | 3, Withdrawn Before Treatment",,,,,,,y,,,,,
rand_comments,randomization,,notes,Randomization Comments,,,,,,,,,,,,,
vs_date,vital_signs,,text,Visit Date,,,date_ymd,,,,,y,,,,,
vs_height_cm,vital_signs,,text,Height (cm),,,number_1dp,100,230,,,,,,,,
vs_weight_kg,vital_signs,,text,Weight (kg),,,number_1dp,25,300,,,y,,,,,
bmi_visit,vital_signs,,calc,BMI (kg/m²),"round(([vs_weight_kg]/(([vs_height_cm]/100)^2)),1)",,,,,,,,,,,,@READONLY
temperature,vital_signs,,text,Temperature (°C),,,number_1dp,30,45,,,,,,,,
heart_rate,vital_signs,,text,Heart Rate (bpm),,,integer,20,250,,,,,,,,
resp_rate,vital_signs,,text,Respiratory Rate (breaths/min),,,integer,5,80,,,,,,,,
sbp,vital_signs,,text,Systolic Blood Pressure (mmHg),,,integer,50,260,,,,,,,,
dbp,vital_signs,,text,Diastolic Blood Pressure (mmHg),,,integer,20,160,,,,,,,,
ecog,vital_signs,,dropdown,ECOG Performance Status,"0, Fully active | 1, Restricted in strenuous activity | 2, Ambulatory >50% of waking hours | 3, Limited self-care | 4, Completely disabled",,,,,,,y,,,,,
vs_significant,vital_signs,,radio,Vital Signs Clinically Significant?,"1, Yes | 0, No",,,,,,,y,,,,,
vs_comments,vital_signs,,notes,Vital Signs Comments,,,,,,,,,,,,,
lab_date,laboratory_results,,text,Laboratory Collection Date,,,date_ymd,,,,,y,,,,,
sample_collected,laboratory_results,,radio,Laboratory Sample Collected?,"1, Yes | 0, No",,,,,,,y,,,,,
hgb,laboratory_results,,text,Hemoglobin (g/dL),,,number_1dp,3,25,,[sample_collected]='1',y,,,,,
wbc,laboratory_results,,text,White Blood Cell Count (×10⁹/L),,,number_2dp,0,100,,[sample_collected]='1',y,,,,,
anc,laboratory_results,,text,Absolute Neutrophil Count (×10⁹/L),,,number_2dp,0,50,,[sample_collected]='1',y,,,,,
platelets,laboratory_results,,text,Platelet Count (×10⁹/L),,,integer,0,1500,,[sample_collected]='1',y,,,,,
alt,laboratory_results,,text,ALT (U/L),,,number_1dp,0,5000,,[sample_collected]='1',y,,,,,
ast,laboratory_results,,text,AST (U/L),,,number_1dp,0,5000,,[sample_collected]='1',y,,,,,
bilirubin,laboratory_results,,text,Total Bilirubin (mg/dL),,,number_2dp,0,50,,[sample_collected]='1',y,,,,,
creatinine,laboratory_results,,text,Serum Creatinine (mg/dL),,,number_2dp,0,20,,[sample_collected]='1',y,,,,,
egfr,laboratory_results,,text,Estimated GFR (mL/min/1.73m²),,,number_1dp,0,200,,[sample_collected]='1',,,,,,
ldh,laboratory_results,,text,LDH (U/L),,,number_1dp,0,5000,,[sample_collected]='1',,,,,,
preg_test_done,laboratory_results,,radio,Pregnancy Test Performed?,"1, Yes | 0, No | 9, Not Applicable",,,,,,[sample_collected]='1',y,,,,,
preg_result,laboratory_results,,dropdown,Pregnancy Test Result,"1, Negative | 2, Positive | 3, Indeterminate",,,,,,[preg_test_done]='1',,,,,,
lab_clinsig,laboratory_results,,radio,Laboratory Results Clinically Significant?,"1, Yes | 0, No",,,,,,[sample_collected]='1',y,,,,,
lab_comments,laboratory_results,,notes,Laboratory Comments,,,,,,,[sample_collected]='1',,,,,,
ae_number,adverse_events,,text,AE Number,,,integer,,,,,,,,,,
ae_term,adverse_events,,text,Adverse Event Term (verbatim),,,,,,,,y,,,,,
ae_startdt,adverse_events,,text,AE Start Date,,,date_ymd,,,,,y,,,,,
ae_ongoing,adverse_events,,radio,Is the AE Ongoing?,"1, Yes | 0, No",,,,,,,y,,,,,
ae_enddt,adverse_events,,text,AE End Date,,,date_ymd,,,,[ae_ongoing]='0',,,,,,
ae_grade,adverse_events,,dropdown,CTCAE Grade,"1, Grade 1 (Mild) | 2, Grade 2 (Moderate) | 3, Grade 3 (Severe) | 4, Grade 4 (Life-threatening) | 5, Grade 5 (Death)",,,,,,,y,,,,,
ae_serious,adverse_events,,radio,Serious Adverse Event?,"1, Yes | 0, No",,,,,,,y,,,,,
sae_reason,adverse_events,,checkbox,SAE Criterion,"1, Death | 2, Life-threatening | 3, Hospitalization | 4, Disability | 5, Congenital anomaly | 6, Other medically important event",,,,,,[ae_serious]='1',,,,,,
ae_relationship,adverse_events,,dropdown,Relationship to Study Drug,"1, Not Related | 2, Unlikely | 3, Possibly Related | 4, Probably Related | 5, Definitely Related",,,,,,,y,,,,,
ae_action,adverse_events,,dropdown,Action Taken with Study Drug,"1, None | 2, Dose Reduced | 3, Dose Interrupted | 4, Permanently Discontinued | 5, Not Applicable | 9, Unknown",,,,,,,y,,,,,
ae_outcome,adverse_events,,dropdown,Outcome,"1, Recovered | 2, Recovering | 3, Not Recovered | 4, Recovered with Sequelae | 5, Fatal | 6, Unknown",,,,,,,y,,,,,
ae_conmed,adverse_events,,radio,Concomitant Medication Given?,"1, Yes | 0, No",,,,,,,y,,,,,
ae_aesi,adverse_events,,radio,Adverse Event of Special Interest (AESI)?,"1, Yes | 0, No",,,,,,,,,,,,
meddra_pt,adverse_events,,text,MedDRA Preferred Term,,,,,,,,,,,,,
ae_resolved,adverse_events,,radio,AE Resolved?,"1, Yes | 0, No",,,,,,[ae_ongoing]='0',,,,,,
ae_comments,adverse_events,,notes,Adverse Event Comments,,,,,,,,,,,,,
cm_name,concomitant_medications,,text,Medication Name (verbatim),,,,,,,,y,,,,,
cm_indication,concomitant_medications,,dropdown,Indication Category,"1, Medical History | 2, Adverse Event | 3, Prophylaxis | 4, Other",,,,,,,y,,,,,
cm_indication_other,concomitant_medications,,text,Specify Other Indication,,,,,,,[cm_indication]='4',,,,,,
cm_startdt,concomitant_medications,,text,Medication Start Date,,,date_ymd,,,,,y,,,,,
cm_ongoing,concomitant_medications,,radio,Medication Ongoing?,"1, Yes | 0, No",,,,,,,y,,,,,
cm_enddt,concomitant_medications,,text,Medication End Date,,,date_ymd,,,,[cm_ongoing]='0',,,,,,
cm_dose,concomitant_medications,,text,Dose,,,number,,,,,y,,,,,
cm_unit,concomitant_medications,,dropdown,Dose Unit,"1, mg | 2, g | 3, mcg | 4, mL | 5, units | 6, tablet | 7, capsule | 8, Other",,,,,,,y,,,,,
cm_route,concomitant_medications,,dropdown,Route,"1, Oral | 2, Intravenous | 3, Intramuscular | 4, Subcutaneous | 5, Topical | 6, Inhalation | 7, Other",,,,,,,y,,,,,
cm_frequency,concomitant_medications,,dropdown,Frequency,"1, Once Daily | 2, Twice Daily | 3, Three Times Daily | 4, Weekly | 5, As Needed (PRN) | 6, Other",,,,,,,y,,,,,
cm_reason,concomitant_medications,,notes,Reason for Medication,,,,,,,,,,,,,
cm_related_ae,concomitant_medications,,radio,Related to an Adverse Event?,"1, Yes | 0, No",,,,,,,y,,,,,
cm_ae_term,concomitant_medications,,text,Related AE Term,,,,,,,[cm_related_ae]='1',,,,,,
cm_comments,concomitant_medications,,notes,Concomitant Medication Comments,,,,,,,,,,,,,
trt_date,treatment_administration,,text,Treatment Date,,,date_ymd,,,,,y,,,,,
trt_visit,treatment_administration,,dropdown,Treatment Visit,"1, Baseline | 2, Week 4 | 3, Week 8 | 4, Week 12 | 5, Week 18 | 6, Week 24",,,,,,,y,,,,,
trt_given,treatment_administration,,radio,Study Drug Administered?,"1, Yes | 0, No",,,,,,,y,,,,,
study_drug,treatment_administration,,dropdown,Study Drug,"1, ImmunoX | 2, Standard Therapy | 3, ImmunoX + Standard Therapy",,,,,,[trt_given]='1',,,,,,
planned_dose,treatment_administration,,text,Planned Dose (mg),,,number_1dp,0,5000,,[trt_given]='1',,,,,,
actual_dose,treatment_administration,,text,Actual Dose Administered (mg),,,number_1dp,0,5000,,[trt_given]='1',,,,,,
dose_modified,treatment_administration,,radio,Dose Modified?,"1, Yes | 0, No",,,,,,[trt_given]='1',,,,,,
dose_mod_reason,treatment_administration,,dropdown,Reason for Dose Modification,"1, Adverse Event | 2, Laboratory Abnormality | 3, Protocol Requirement | 4, Participant Decision | 5, Physician Decision | 6, Other",,,,,,[dose_modified]='1',,,,,,
treatment_delay,treatment_administration,,radio,Treatment Delayed?,"1, Yes | 0, No",,,,,,,y,,,,,
delay_reason,treatment_administration,,notes,Delay Reason,,,,,,,[treatment_delay]='1',,,,,,
treatment_completed,treatment_administration,,radio,Treatment Administration Completed?,"1, Yes | 0, No",,,,,,,y,,,,,
infusion_reaction,treatment_administration,,radio,Infusion Reaction Observed?,"1, Yes | 0, No",,,,,,,y,,,,,
premedication,treatment_administration,,radio,Premedication Given?,"1, Yes | 0, No",,,,,,,,,,,,
trt_comments,treatment_administration,,notes,Treatment Comments,,,,,,,,,,,,,
ta_date,tumor_assessment,,text,Assessment Date,,,date_ymd,,,,,y,,,,,
ta_modality,tumor_assessment,,dropdown,Imaging Modality,"1, CT Scan | 2, MRI | 3, PET-CT | 4, Ultrasound | 5, Other",,,,,,,y,,,,,
target_eval,tumor_assessment,,radio,Target Lesions Evaluated?,"1, Yes | 0, No",,,,,,,y,,,,,
target_sum,tumor_assessment,,text,Sum of Target Lesion Diameters (mm),,,number_1dp,0,1000,,[target_eval]='1',,,,,,
nontarget_present,tumor_assessment,,radio,Non-Target Lesions Present?,"1, Yes | 0, No",,,,,,,y,,,,,
nontarget_status,tumor_assessment,,dropdown,Non-Target Lesion Status,"1, Complete Response | 2, Persistence | 3, Unequivocal Progression | 4, Not Evaluable",,,,,,[nontarget_present]='1',,,,,,
new_lesions,tumor_assessment,,radio,New Lesions Present?,"1, Yes | 0, No",,,,,,,y,,,,,
overall_response,tumor_assessment,,dropdown,Overall RECIST v1.1 Response,"1, Complete Response (CR) | 2, Partial Response (PR) | 3, Stable Disease (SD) | 4, Progressive Disease (PD) | 5, Not Evaluable (NE)",,,,,,,y,,,,,
disease_progression,tumor_assessment,,radio,Disease Progression?,"1, Yes | 0, No",,,,,,,y,,,,,
progression_date,tumor_assessment,,text,Progression Date,,,date_ymd,,,,[disease_progression]='1',,,,,,
investigator_assessment,tumor_assessment,,dropdown,Investigator Assessment,"1, Continue Treatment | 2, Continue with Monitoring | 3, Discontinue Study Treatment | 4, Repeat Imaging Required",,,,,,,y,,,,,
central_review,tumor_assessment,,radio,Imaging Reviewed Centrally?,"1, Yes | 0, No",,,,,,,,,,,,
ta_comments,tumor_assessment,,notes,Tumor Assessment Comments,,,,,,,,,,,,,
pd_number,protocol_deviations,,text,Protocol Deviation Number,,,integer,,,,,,,,,,
pd_date,protocol_deviations,,text,Deviation Date,,,date_ymd,,,,,y,,,,,
pd_category,protocol_deviations,,dropdown,Deviation Category,"1, Eligibility | 2, Visit Window | 3, Study Treatment | 4, Laboratory Assessment | 5, Informed Consent | 6, Safety Reporting | 7, Other",,,,,,,y,,,,,
pd_description,protocol_deviations,,notes,Deviation Description,,,,,,,,y,,,,,
pd_severity,protocol_deviations,,dropdown,Deviation Classification,"1, Minor | 2, Major",,,,,,,y,,,,,
pd_root_cause,protocol_deviations,,dropdown,Root Cause,"1, Site Process | 2, Participant | 3, Scheduling | 4, Laboratory | 5, Technology/System | 6, Other",,,,,,,,,,,,
pd_action,protocol_deviations,,notes,Corrective/Preventive Action,,,,,,,,,,,,,
pd_resolved,protocol_deviations,,radio,Resolved?,"1, Yes | 0, No",,,,,,,y,,,,,
pd_resolution_date,protocol_deviations,,text,Resolution Date,,,date_ymd,,,,[pd_resolved]='1',,,,,,
pd_comments,protocol_deviations,,notes,Protocol Deviation Comments,,,,,,,,,,,,,
eot_date,end_of_treatment,,text,Treatment End Date,,,date_ymd,,,,,y,,,,,
eot_reason,end_of_treatment,,dropdown,Reason for End of Treatment,"1, Completed Treatment | 2, Disease Progression | 3, Adverse Event | 4, Withdrawal of Consent | 5, Lost to Follow-up | 6, Death | 7, Physician Decision | 8, Other",,,,,,,y,,,,,
eot_reason_other,end_of_treatment,,text,Specify Other Reason,,,,,,,[eot_reason]='8',,,,,,
eot_finaldose,end_of_treatment,,radio,Received Final Dose?,"1, Yes | 0, No",,,,,,,y,,,,,
eot_discontinue,end_of_treatment,,radio,Study Drug Permanently Discontinued?,"1, Yes | 0, No",,,,,,,y,,,,,
eot_followup,end_of_treatment,,radio,Requires Safety Follow-up?,"1, Yes | 0, No",,,,,,,y,,,,,
study_status,end_of_treatment,,dropdown,Overall Study Status,"1, Completed | 2, Early Termination | 3, Withdrawn | 4, Death",,,,,,,y,,,,,
eot_investigator,end_of_treatment,,text,Investigator Initials,,,,,,,,y,,,,,
eot_comments,end_of_treatment,,notes,End of Treatment Comments,,,,,,,,,,,,,
sfu_date,safety_followup,,text,Safety Follow-up Date,,,date_ymd,,,,,y,,,,,
sfu_ongoingae,safety_followup,,radio,Any Ongoing Adverse Events?,"1, Yes | 0, No",,,,,,,y,,,,,
sfu_newsae,safety_followup,,radio,Any New Serious Adverse Events?,"1, Yes | 0, No",,,,,,,y,,,,,
sfu_newcm,safety_followup,,radio,Any New Concomitant Medications?,"1, Yes | 0, No",,,,,,,y,,,,,
participant_alive,safety_followup,,radio,Participant Alive?,"1, Yes | 0, No",,,,,,,y,,,,,
participant_status,safety_followup,,dropdown,Final Participant Status,"1, Recovered | 2, Recovering | 3, Stable | 4, Disease Progression | 5, Deceased",,,,,,,y,,,,,
sfu_required,safety_followup,,radio,Further Follow-up Required?,"1, Yes | 0, No",,,,,,,y,,,,,
sfu_comments,safety_followup,,notes,Safety Follow-up Comments,,,,,,,,,,,,,
